kunde,artikel,artikelbezeichnung
00002,259,"Cisco 820 Ser IOS IP/FW Cisco 820 Ser IOS IP/FW e."
00002,340,"Client Sec 2 GPWR Prot. B.Pack IT CD 10U Client Security 2.0 BUSINESS PACK G"
00002,1180,"""LCD Display 17"""" PRO LITE E431S-S silber """""""
00075,2631,"Architectural Desktop 3.3 engl. CDNT Architectural Desktop 3.3 engl. CDN"
00075,1474,"Mac OS X Server v10.2/DE CD Mac Unl. Mac OS X Server v10.2/DE CD Mac Unl"
00075,1314,"M40 60GB IDE UATA100 2.5IN 9.5Mm 5400RPM"
00075,273,"915P NEO2 Plat LGA775 2x256MB PCI-X MB 9"
00678,1898,"HDD 36.4 GB Ultra 160 HS 15Krpm IBM HDD "
00678,1140,"D915PCY/LGA775 ATX DDR Bulk MB D915PCY/L"
00678,1344,"LaserJet 9065MFP 64MB 65ppm A3 HP LaserJ"
00678,1109,"SO-A MSI K7N2Delta-L nForce2 DDR 400, AT"
00678,475,"Acu C1900S 32MB 16ppm A4 Laser color/ Au"
00678,1299,"OSB/ MS Win 2000Server dt. CD+SP4 1P OSB/ MS Win 2000 Server dt. CD +SP4"
00678,625,"SO-A MSI KT6 Delta-FISR KT600,3GB Socket"
00392,800,"OEM/ MS Win 2000 Server dt. CD +SP4 1P SB MS Windows 2000 Server dt. CD +S"
00392,1065,"SW Norton Utilities 2.0 f. WinNT dt. CD System- u. Datenschutz, Norton Util"
00392,172,"CUG Mechan.2005v.ACAD2004/05/02NLSdtMast CUG Mechanical 2005 v. AutoCAD 2005"
00392,63,"Cisco 3660 Ser IOS IP/FW/IDS Feature Pac Cisco 3660 Ser IOS IP/FW/IDS Featur"
00392,2470,"LaserJet 4200LN 48MB 28S 1200dpi dt. HP "
00392,212,"HD Allegro AL 8LE/73,5GB U320 68p 10krpm"
00392,948,"Monitorlautsprecher silber PX-42VM1U-S1-"
00392,1895,"Backup Exec 9.1 W2NT Server engl. Backup Exec Svr v9.1/EN CD W2NT, Fu"
00392,2233,"LIG BAB R11 OF Opt+2Yr Enterpr Mnt GLP Brightstor Arcserve R11 Open Fi"
00790,2000,"David MX 25 Accounts 7 dt CD Win+2Ports David MX 25 Accounts dt. CD Win + 2"
00790,1134,"Cisco 3640 Ser IOS IP/FW/IDS Feature Pac Cisco 3640 Ser IOS IP/FW/IDS Featur"
00393,98,"JDataStore Dev Ed e. CD JDataStore Developer Edition e. CD"
00393,1600,"""Monitor 19"""" /47cm NEC Diamond Pro 930SB, """""""
00393,2503,"LaserJet 3020 All-in-One Multifun ktions"
00393,686,"LaserBase MF5630 Laserdrucker, CANON Las"
