BuyerRef	DeliveryDate	PaymentDuration	TotalPrice
2	2004-12-22	102	39952.22
2	2005-02-05	59	94670.03
2	2003-10-08	52	37361.17
2	2004-01-26	52	252366
2	2003-08-06	51	570729.9
2	2004-07-23	49	96455.75
2	2005-03-04	45	167533.25
2	2005-03-20	43	157687.33
2	2003-04-03	40	10278.98
2	2003-11-07	36	50154.83
2	2004-03-22	24	220010.44
2	2003-07-19	17	86023.37
2	2004-09-06	14	396912.78
2	2004-08-05	8	101681.67
3	2003-09-28	106	85728.33
3	2004-02-03	98	310297.75
3	2003-04-02	92	434611.53
3	2005-06-09	87	75956.21
3	2004-10-15	79	296126.74
3	2003-06-09	65	96681.37
3	2003-07-11	61	27902.79
3	2004-06-11	57	67201.23
3	2004-05-06	56	288823.15
3	2003-05-11	48	3964.8
3	2003-10-24	48	152353.56
3	2004-06-20	27	129266.9
3	2003-11-06	19	415411.7
3	2003-09-14	16	49314.12
3	2005-05-22	16	47413.26
3	2003-06-02	11	211068.24
3	2004-12-30	7	77376.44
4	2004-04-30	124	100027.3
4	2005-03-06	76	184242.26
4	2004-10-30	68	137116.16
4	2005-01-31	62	71941.54
4	2005-01-07	56	55736.98
4	2003-08-05	55	321502.39
4	2005-03-19	51	106148.73
4	2005-06-16	50	105272.54
4	2004-05-21	49	82014.63
4	2004-07-28	23	227024.39
4	2004-08-23	18	144468.62
4	2004-09-12	15	181276.87
4	2004-06-19	14	68417.21
4	2005-04-17	7	584511.08
5	2003-01-13	113	2974.74
5	2003-07-10	101	322438.81
5	2005-02-03	86	595510.32
5	2004-04-09	80	155868.18
5	2004-03-26	67	82955.45
5	2004-04-14	65	41468.43
5	2003-05-31	64	70716.1
5	2004-03-17	58	29598.07
5	2004-05-31	50	249553.36
5	2003-11-07	36	246587.28
5	2003-05-06	29	94741.18
5	2004-06-09	24	318476.45
5	2004-04-14	23	28197.33
5	2003-09-11	21	227863.4
5	2003-05-02	13	36934.27
5	2004-05-20	8	212801.76
5	2004-11-29	7	35197.14
6	2003-10-23	84	32363.98
6	2004-11-01	63	142572.61
6	2003-06-28	59	50734.28
6	2005-03-13	59	88308.48
6	2003-11-29	58	153904.86
6	2003-05-27	57	74891.23
6	2004-07-03	56	42458.34
6	2004-02-14	55	82021.74
6	2005-07-05	51	59379.36
6	2004-02-03	47	275019.93
6	2004-09-27	46	178071.96
6	2003-05-22	44	234603.34
6	2005-07-07	43	245425.33
6	2005-01-21	27	68842.44
6	2003-07-27	20	25024.94
6	2003-10-05	20	146782.51
6	2003-04-28	18	12655.4
6	2003-08-30	16	66383.77
6	2003-12-11	16	119427.42
6	2004-01-01	7	26938.8
6	2005-05-16	6	44345.41
7	2004-10-06	82	36808.68
7	2004-09-20	59	519282.18
7	2005-07-12	48	14031.8
7	2005-04-11	45	216860.33
7	2005-07-19	44	97744.02
7	2003-04-26	38	32456.48
7	2004-02-23	39	390415.52
7	2005-05-11	36	209496.59
7	2003-05-13	23	413361.36
7	2004-05-11	7	4389.12
7	2004-02-17	4	143671.44
8	2003-07-05	99	59582.59
8	2004-12-31	94	42867.71
8	2004-07-18	67	26271.52
8	2005-04-02	66	87732.34
8	2003-08-14	62	104651.98
8	2003-06-25	61	236825.64
8	2004-03-12	59	1620753.48
8	2003-12-06	56	433787.23
8	2003-07-25	55	32510.83
8	2004-03-25	49	90414.59
8	2004-10-26	45	43895.71
8	2004-11-29	19	477369.06
8	2004-05-11	10	8448.94
8	2004-10-15	10	16636.45
8	2004-02-02	7	165416.23
8	2004-02-06	6	10929.92
8	2004-10-24	1	98367.95
9	2004-02-06	86	170296.88
9	2004-06-19	84	50359.03
9	2005-05-29	83	10594.82
9	2004-05-25	77	40937.1
9	2005-04-23	64	82681.91
9	2005-01-05	48	162792.27
9	2004-05-13	40	150798.6
9	2004-02-11	40	26158.37
9	2004-01-26	30	41616.83
9	2003-06-11	29	3466.98
9	2004-12-13	28	9046.54
9	2004-08-09	27	56897.09
9	2004-09-16	27	151096.63
9	2003-10-14	25	219142.6
9	2003-08-17	21	30033.63
9	2004-11-14	4	92881.95
10	2005-04-13	105	237449.28
10	2003-12-23	71	125701.68
10	2003-09-19	65	76442.1
10	2005-06-10	64	103460.78
10	2005-02-25	60	102289.55
10	2004-09-09	52	46950.08
10	2004-06-06	50	34556.98
10	2003-04-12	49	185894.16
10	2005-02-18	48	65887.22
10	2003-12-10	48	161860.72
10	2004-12-26	27	57175.26
10	2005-01-27	27	183807.89
10	2005-05-13	26	43488.74
10	2003-08-21	17	527033.24
10	2004-08-10	7	215594
10	2004-05-18	3	86254.12
10	2003-12-18	2	33855.14
10	2004-04-16	1	55013.66
11	2004-09-15	67	11390.59
11	2003-06-20	47	51385.95
11	2003-02-15	37	350939.42
11	2005-01-31	21	129984.99
11	2003-02-25	20	48190.94
11	2003-02-10	20	20557.72
11	2004-09-04	14	48711.23
11	2005-06-09	11	178921.17
12	2003-08-11	105	266842.76
12	2004-02-07	102	194453.28
12	2004-11-01	89	25876.99
12	2003-11-23	82	45815.66
12	2005-03-29	74	167761.57
12	2005-01-26	67	10512.02
12	2004-03-21	59	226017.1
12	2003-06-07	50	75466.33
12	2004-10-09	28	180948.68
12	2003-05-31	26	500793.19
12	2004-12-01	20	35493.48
12	2003-04-09	19	214131.91
12	2004-11-28	13	430301.87
12	2004-03-01	9	7840.89
12	2003-07-28	8	131921.7
13	2004-02-04	77	95386.21
13	2004-05-02	66	132512.45
13	2003-03-15	65	167602.41
13	2004-01-17	55	104055.55
13	2003-03-24	46	561134.54
13	2004-03-15	40	409794.96
13	2005-05-08	38	62651.13
13	2003-01-19	37	255158.78
13	2003-10-23	36	35506.97
13	2004-05-30	24	32440.34
13	2005-07-09	23	35089.2
14	2004-01-23	115	19384.75
14	2003-06-02	104	234324.16
14	2003-09-01	97	862092.4
14	2005-04-27	92	71636.37
14	2004-11-16	88	23500.81
14	2004-09-17	67	44721.03
14	2003-02-27	66	207230.05
14	2004-04-27	62	207575.32
14	2005-04-13	59	181696.53
14	2003-09-01	57	103092.98
14	2004-08-02	49	20320.96
14	2004-03-22	44	173386.88
14	2003-06-28	42	4355.56
14	2005-07-07	39	23045.06
14	2003-10-19	24	167605.9
14	2004-11-16	24	39189.48
14	2004-10-20	19	64546.6
14	2005-02-07	13	26224.03
14	2003-03-29	6	81510.38
15	2004-07-23	83	54659.74
15	2005-05-28	75	177544.85
15	2003-09-12	68	74243.66
15	2004-06-18	66	122172.36
15	2004-01-10	63	294865.49
15	2003-03-30	54	122713.85
15	2004-02-12	45	86314.35
15	2004-07-08	43	188672.52
15	2003-11-02	42	25989.6
15	2005-03-12	42	121618.88
15	2005-03-30	40	185521.11
15	2005-06-19	38	3415.5
15	2004-06-15	25	97785
15	2003-04-29	12	53327.5
15	2005-02-27	9	59082.16
15	2003-05-03	9	146120.84
15	2004-02-24	7	114510.66
15	2004-08-06	3	40551.31
16	2005-03-20	124	45113.5
16	2003-09-14	109	273181.8
16	2004-09-25	104	129062.6
16	2004-03-03	64	154211.44
16	2004-01-02	54	244524.52
16	2003-12-30	51	75783.04
16	2003-05-02	45	162909.62
16	2004-09-10	45	152193.02
16	2003-04-03	42	1958.22
16	2004-11-26	42	303761.93
16	2003-12-11	28	93837.48
16	2003-12-01	14	99152.97
16	2003-09-04	11	859332.75
16	2004-01-29	10	9662.83
16	2004-06-30	7	29835.88
17	2004-04-23	65	88004.56
17	2003-12-18	60	34818.87
17	2004-06-10	57	83226.43
17	2004-09-09	50	14664.82
17	2003-06-14	45	120556.29
17	2003-02-25	44	78476.65
17	2005-06-17	38	105816.96
17	2003-12-24	36	465984.88
17	2003-04-19	18	483828.59
17	2004-11-21	16	263252.94
17	2004-05-19	9	88505.4
17	2003-12-29	7	156564.03
18	2003-12-03	121	50782.4
18	2003-03-11	56	31052.8
18	2004-07-01	54	1500428.7
18	2005-04-13	50	419275.77
18	2003-04-03	21	69220.95
18	2005-02-12	19	88323.41
18	2003-09-11	17	126662.16
18	2004-11-01	9	117736.45
18	2004-04-10	8	15539.36
18	2003-06-20	1	502170.95
19	2004-04-20	86	243425.37
19	2003-10-23	56	98441.74
19	2003-11-27	53	134726.19
19	2003-05-12	36	94582
19	2005-01-16	30	272244.78
19	2004-02-02	30	43491.7
19	2003-08-30	18	446430.96
19	2005-01-23	14	44458.9
20	2003-03-22	98	77780.12
20	2003-06-29	68	227608.15
20	2004-09-28	65	40273.3
20	2003-02-24	52	15774.2
20	2004-01-09	52	156006.92
20	2004-07-10	45	202842.2
20	2004-12-28	45	25396.47
20	2003-03-30	37	9842.11
20	2004-05-13	29	188726.43
20	2003-12-09	28	35035.24
20	2003-12-26	26	35477.07
20	2003-09-13	12	56766.88
20	2004-04-18	8	962.92
20	2004-09-16	8	59244.16
20	2004-04-14	3	154505.83
21	2004-09-11	124	40358.46
21	2005-03-05	85	500880.07
21	2005-01-15	75	136221.68
21	2004-06-21	72	151071.73
21	2003-09-21	57	36995.36
21	2004-08-03	56	50717.78
21	2004-02-21	32	196123.54
21	2003-06-01	22	61088.42
21	2003-11-16	8	640800.22
21	2003-11-19	6	27938.49
22	2005-07-11	83	271994.72
22	2005-01-29	76	160043.48
22	2005-04-19	67	115870
22	2005-05-17	67	344275.86
22	2003-09-22	66	68544.31
22	2005-02-15	55	353315.29
22	2004-04-10	55	15856.96
22	2003-08-29	52	269965.19
22	2004-11-29	43	145679.02
22	2004-02-03	39	6785.39
22	2005-01-23	22	104559.47
22	2003-04-27	17	13107.09
22	2003-08-21	17	4636.32
22	2005-02-21	12	162534.86
22	2005-02-13	9	275264.07
22	2003-03-25	8	249732.33
22	2003-07-25	1	15635.96
23	2004-07-09	117	392954.79
23	2004-05-08	98	171899.45
23	2004-05-29	96	205660.97
23	2004-09-28	63	163742.8
23	2005-04-08	61	59652.25
23	2003-09-25	58	51398.03
23	2003-11-17	55	170230.98
23	2003-10-27	44	333981.83
23	2004-08-15	37	189431.19
23	2003-03-12	32	83741.03
23	2004-05-10	29	224577.42
23	2003-02-15	16	401625.11
23	2003-07-28	8	75915
23	2003-07-20	7	142737.15
23	2003-03-02	5	275164.28
23	2003-02-11	3	29525.31
24	2004-09-17	98	64927.47
24	2004-03-26	60	82786.86
24	2005-05-20	54	191397.22
24	2003-02-26	44	107958.55
24	2004-11-25	44	40230.83
24	2003-03-16	21	79746.12
24	2004-12-06	9	32427.24
24	2004-01-17	8	126067.51
24	2004-04-07	7	93484.43
24	2003-06-26	3	67300.74
25	2004-10-28	75	40205.72
25	2003-08-06	68	19545.47
25	2004-03-27	68	171124.83
25	2005-07-10	67	103577.01
25	2004-06-30	61	20546.35
25	2003-09-29	59	2950.85
25	2004-02-22	37	310974.76
25	2004-01-06	23	192206.24
25	2005-04-10	23	151450.3
25	2005-05-27	20	45329.83
25	2004-06-01	17	153853.18
25	2003-04-02	15	16343.29
25	2004-08-28	12	203472.04
25	2003-02-05	8	263619.11
25	2004-11-21	2	126239.47
25	2004-11-25	1	7126.92
26	2003-07-19	61	22401.86
26	2005-06-03	57	34310.61
26	2003-07-16	42	90041.37
26	2003-04-01	36	395284.42
26	2003-09-10	30	24721.22
26	2003-04-04	28	180003.68
26	2004-05-13	28	325010.39
26	2005-05-20	26	7376.58
26	2004-03-05	16	43562.09
26	2003-11-18	11	81459.33
26	2005-04-14	8	21848.29
27	2004-08-18	124	86155.6
27	2004-01-20	118	138769.08
27	2004-04-25	84	9277.85
27	2004-02-04	72	145034.46
27	2004-06-19	62	111543.24
27	2004-05-17	58	420.46
27	2004-01-27	57	9930.72
27	2003-11-14	44	176906.22
27	2003-08-20	41	87685.92
27	2005-05-19	37	47021.23
27	2005-02-19	9	26040.75
27	2003-04-26	7	62485.63
27	2004-05-26	6	67012.08
28	2004-08-16	112	49393.23
28	2003-04-11	77	107713.29
28	2005-06-22	70	24380.76
28	2004-10-12	68	23861.84
28	2003-12-18	66	314888.56
28	2003-07-21	62	34311.99
28	2004-06-21	61	86920.96
28	2003-09-25	55	253919.82
28	2004-10-12	42	158051.8
28	2005-03-15	39	65477.14
28	2004-07-03	37	22779.9
28	2004-11-28	30	324726.72
28	2004-11-20	30	25952.31
28	2004-07-02	19	126119.67
28	2005-06-29	10	47941.48
28	2003-10-27	4	184143.65
29	2003-06-02	67	47274.63
29	2004-06-09	60	20266.24
29	2004-07-07	60	67581.74
29	2004-10-09	60	170401.05
29	2003-01-20	55	87488.98
29	2005-06-18	49	14799.66
29	2004-11-17	30	15023.75
29	2005-04-27	23	49787.71
29	2003-08-25	20	63718.25
29	2004-04-20	11	118615.06
29	2003-12-13	9	244298.33
29	2004-11-27	9	248888.04
29	2003-07-19	7	197637.21
30	2004-01-28	98	36315.3
30	2004-10-10	79	21930.46
30	2005-03-03	69	17818.41
30	2004-04-08	65	415232.44
30	2004-01-19	63	299528.9
30	2003-06-21	61	43581.09
30	2005-04-08	61	192457.8
30	2004-10-17	55	149548.18
30	2004-05-25	48	35055.25
30	2004-08-23	44	334570.23
30	2003-07-23	42	229456.01
30	2005-02-08	36	112883.3
30	2004-01-20	28	162329.83
30	2003-05-05	18	51345.58
30	2004-02-28	14	106932.72
30	2005-02-03	11	142953.5
30	2005-05-19	3	50450.82
31	2004-02-01	92	294755.71
31	2005-06-08	67	79249.01
31	2004-05-11	55	535820.21
31	2004-12-05	45	19570.03
31	2005-07-02	36	232549.05
31	2004-11-15	30	37041.46
31	2005-02-04	3	52575.85
32	2004-06-26	103	17539.5
32	2003-02-24	86	24015.32
32	2004-05-21	79	89347.61
32	2004-01-26	66	13052.51
32	2003-03-03	64	107811.99
32	2003-05-01	63	190698.66
32	2004-02-04	62	119459.26
