Date;Open;High;Low;Close
2013-05-30;8314.20;8416.36;8293.96;8400.20
2013-05-29;8437.21;8445.46;8316.70;8336.58
2013-05-28;8432.46;8526.42;8424.40;8480.87
2013-05-27;8346.60;8386.86;8338.32;8383.30
2013-05-24;8390.16;8391.02;8262.64;8305.32
2013-05-23;8410.06;8412.25;8281.11;8351.98
2013-05-22;8467.56;8557.86;8434.83;8530.89
2013-05-21;8446.78;8476.18;8397.54;8472.20
2013-05-20;8434.97;8456.24;8401.74;8455.83
2013-05-17;8356.26;8408.62;8327.47;8398.00
2013-05-16;8348.54;8401.28;8324.23;8369.87
2013-05-15;8333.61;8368.06;8299.83;8362.42
2013-05-14;8304.50;8339.11;8235.97;8339.11
2013-05-13;8281.95;8294.56;8217.15;8279.29
2013-05-10;8278.45;8358.23;8252.37;8278.59
2013-05-09;8232.50;8274.18;8224.52;8262.55
2013-05-08;8176.88;8253.47;8173.35;8249.71
2013-05-07;8125.82;8206.01;8116.67;8181.78
2013-05-06;8119.22;8148.14;8103.27;8112.08
2013-05-03;7972.28;8130.16;7957.36;8122.29
2013-05-02;7905.35;8005.83;7896.99;7961.71
2013-04-30;7928.42;7965.90;7893.08;7913.71
2013-04-29;7834.02;7873.50;7823.24;7873.50
2013-04-26;7835.59;7840.47;7767.61;7814.76
2013-04-25;7766.61;7838.31;7741.98;7832.86
2013-04-24;7656.76;7767.36;7656.22;7759.03
2013-04-23;7477.03;7664.22;7442.36;7658.21
2013-04-22;7516.06;7538.22;7437.52;7478.11
2013-04-19;7490.11;7531.09;7418.36;7459.96
2013-04-18;7519.67;7556.55;7436.78;7473.73
2013-04-17;7719.56;7722.46;7473.07;7503.03
2013-04-16;7680.78;7739.66;7639.43;7682.58
2013-04-15;7740.54;7773.11;7651.58;7712.63
2013-04-12;7831.87;7838.53;7726.13;7744.77
2013-04-11;7799.31;7885.45;7786.75;7871.63
2013-04-10;7664.16;7822.12;7660.20;7810.63
2013-04-09;7704.35;7723.20;7608.04;7637.51
2013-04-08;7669.04;7698.47;7645.56;7662.64
2013-04-05;7820.69;7825.28;7632.42;7658.75
2013-04-04;7902.86;7927.93;7803.89;7817.39
2013-04-03;7926.88;7953.15;7869.81;7874.75
2013-04-02;7806.12;7949.20;7805.92;7943.87
2013-03-28;7791.14;7842.58;7778.02;7795.31
2013-03-27;7905.96;7916.76;7750.38;7789.09
2013-03-26;7889.15;7912.52;7859.27;7879.67
2013-03-25;7988.27;8030.76;7847.97;7870.90
2013-03-22;7917.64;7953.93;7876.36;7911.35
2013-03-21;7989.59;7999.34;7887.67;7932.51
2013-03-20;7995.59;8030.46;7972.21;8001.97
2013-03-19;7980.54;8000.97;7919.45;7947.79
2013-03-18;7924.04;8020.91;7901.94;8010.70
2013-03-15;8074.03;8074.47;7996.95;8042.85
2013-03-14;8013.25;8060.26;8011.22;8058.37
2013-03-13;7964.77;7978.84;7942.37;7970.91
2013-03-12;7970.83;7999.50;7933.94;7966.12
2013-03-11;7967.46;7989.21;7954.58;7984.29
2013-03-08;7970.66;8015.07;7962.28;7986.47
2013-03-07;7934.19;7956.26;7911.56;7939.77
2013-03-06;7907.39;7977.64;7898.04;7919.33
2013-03-05;7779.62;7883.60;7772.33;7870.31
2013-03-04;7654.67;7708.88;7637.32;7691.68
2013-03-01;7735.35;7767.67;7627.99;7708.16
2013-02-28;7712.20;7753.39;7691.81;7741.70
2013-02-27;7641.84;7679.44;7565.78;7675.83
2013-02-26;7682.24;7683.96;7589.32;7597.11
