station_id, time UTC, AtmosphericPressure mb, WindDirection degrees, WindSpeed kn, Gust kn, AirTemperature degree C, RelativeHumidity percent
M4, 2007-05-03T09:00:00Z,1021.2,50,12, NaN,12.2,84
M4, 2007-05-03T10:00:00Z,1021.6,50,10, NaN,12.3,84
M4, 2007-05-03T11:00:00Z,1020.8,50,9, NaN,12.4,84
M4, 2007-05-03T12:00:00Z,1021.8,50,9, NaN,12.3, NaN
M4, 2007-05-03T13:00:00Z,1021.8,40,10, NaN,12.3,86
M4, 2007-05-03T14:00:00Z,1021.6,40,11, NaN,12,89
M4, 2007-05-03T15:00:00Z,1021.6,40,12,18,10.1,92
M4, 2007-05-03T16:00:00Z,1021.2,40,10,16,10,94
M4, 2007-05-03T17:00:00Z,1021,30,11,16,10.2,94
M4, 2007-05-03T18:00:00Z,1020.8,30,11,15,10,94
M4, 2007-05-03T19:00:00Z,1020.8,40,13,16,10.1,94
M4, 2007-05-03T20:00:00Z,1020.8,40,13,18,10.3,94
M4, 2007-05-03T21:00:00Z,1021.2,30,12,16,10.8,95
M4, 2007-05-03T22:00:00Z,1021.2,50,13,16,11.6,93
M4, 2007-05-03T23:00:00Z,1021.2,50,13,16,11.5,92
M4, 2007-05-04T00:00:00Z,1021.2,40,14,18,11,91
M4, 2007-05-04T01:00:00Z,1021.2,50,13,18,10.9,91
M4, 2007-05-04T02:00:00Z,1020.8,40,13,17,10.8,92
M4, 2007-05-04T03:00:00Z,1020.4,40,13,18,10.8,90
M4, 2007-05-04T04:00:00Z,1020.4,50,13,17,10.4,91
M4, 2007-05-04T05:00:00Z,1020.2,50,12,18,10.1,92
M4, 2007-05-04T06:00:00Z,1020.2,60,12,16,10.4,92
M4, 2007-05-04T07:00:00Z,1020.4,50,12,17,10.2,92
M4, 2007-05-04T08:00:00Z,1020.4,60,13,18,10,90
M4, 2007-05-04T09:00:00Z,1020.4,40,13,16,10.1,88
M4, 2007-05-04T10:00:00Z,1020.4,50,12,16,10.5,86
M4, 2007-05-04T11:00:00Z,1020.6,60,11,16,10.4,84
M4, 2007-05-04T12:00:00Z,1020.6,60,11,18,10.6,83
M4, 2007-05-04T13:00:00Z,1020.2,70,10,16,10.7,83
M4, 2007-05-04T14:00:00Z,1019.8,60,11,16,11,83
M4, 2007-05-04T15:00:00Z,1019.6,50,12,14,11,83
M4, 2007-05-04T16:00:00Z,1017.8,50,13,16,11,82
M4, 2007-05-04T17:00:00Z,1018.8,50,13,16,11.1,83
M4, 2007-05-04T18:00:00Z,1017.4,50,13,16,11.1,84
M4, 2007-05-04T19:00:00Z,1017.8,60,13,16,10.9,85
M4, 2007-05-04T20:00:00Z,1017.6,70,13,16,10.9,86
M4, 2007-05-04T21:00:00Z,1017.6,90,12,16,11.1,88
M4, 2007-05-04T22:00:00Z,1017.8,100,11,14,11.2,89
M4, 2007-05-04T23:00:00Z,1017.8,100,8,12,11.3,89
M4, 2007-05-05T00:00:00Z,1018.8,140,5,10,11.4,89
M4, 2007-05-05T01:00:00Z,1017.2,190,4,7,11.2,90
M4, 2007-05-05T02:00:00Z,1018.4,230,7,10,11.2,87
M4, 2007-05-05T03:00:00Z,1016.2,240,8,12,10.9,86
M4, 2007-05-05T04:00:00Z,1016,230,12,16,10.5,84
M4, 2007-05-05T05:00:00Z,1015.8,240,13,18,10.9,86
M4, 2007-05-05T06:00:00Z,1015.6,220,17,20,10.8,83
M4, 2007-05-05T07:00:00Z,1015.6,210,15,20,11.4,84
M4, 2007-05-05T08:00:00Z,1015.6,210,17,23,11.8,84
M4, 2007-05-05T09:00:00Z,1015.2,210,19,24,12.1,85
M4, 2007-05-05T10:00:00Z,1014.8,200,21,25,12.1,85
M4, 2007-05-05T11:00:00Z,1014.4,200,20,28,12.1,87
M4, 2007-05-05T12:00:00Z,1013.2,190,22,29,12.2,89
M4, 2007-05-05T13:00:00Z,1012.6,200,22,27,12,93
M4, 2007-05-05T14:00:00Z,1013.6,200,21,29,12.2,95
M4, 2007-05-05T15:00:00Z,1012.2,210,17,25,12.5,94
M4, 2007-05-05T16:00:00Z,1011,200,18,23,12.4,94
M4, 2007-05-05T17:00:00Z,1009.8,200,20,23,12.5,94
M4, 2007-05-05T18:00:00Z,1008.4,210,24,31,12.7,93
M4, 2007-05-05T19:00:00Z,1007.6,200,28,39,11.5,91
M4, 2007-05-05T20:00:00Z,1006,200,29,36,12,92
M4, 2007-05-05T21:00:00Z,1006.4,230,26,39,12.6,92
M4, 2007-05-05T22:00:00Z,1006.8,240,30,37,12.8,81
M4, 2007-05-05T23:00:00Z,1007,240,27,38,12.1,77
M4, 2007-05-06T00:00:00Z,1007,240,29,37,12,76
M4, 2007-05-06T01:00:00Z,1007.4,240,30,38,11.5,80
M4, 2007-05-06T02:00:00Z,1007.2,240,29,37,10.8,83
M4, 2007-05-06T03:00:00Z,1007.6,240,32,41,11,76
M4, 2007-05-06T04:00:00Z,1007.4,250,29,39,11.3,77
M4, 2007-05-06T05:00:00Z,1007.8,240,26,39,10.6,75
M4, 2007-05-06T06:00:00Z,1008,250,26,35,11.1,76
M4, 2007-05-06T07:00:00Z,1008.4,270,22,35,10,74
M4, 2007-05-06T08:00:00Z,1008.2,250,25,35,10.6,67
M4, 2007-05-06T09:00:00Z,1008.4,250,24,33,10.9,75
M4, 2007-05-06T10:00:00Z,1008.4,240,23,31,10.8,76
M4, 2007-05-06T11:00:00Z,1008.4,230,20,31,11.1,78
M4, 2007-05-06T12:00:00Z,1009.8,240,23,30,11.3,80
M4, 2007-05-06T13:00:00Z,1008.4,240,25,35,11.5,78
M4, 2007-05-06T14:00:00Z,1008.6,250,22,37,11.5,77
M4, 2007-05-06T15:00:00Z,1008.6,260,21,31,11.5, NaN
M4, 2007-05-06T16:00:00Z,1008.4,250,22,29,11.7,77
M4, 2007-05-06T17:00:00Z,1008.4,250,23,29,11.6,76
M4, 2007-05-06T18:00:00Z,1008.4,240,21,29,11.5,78
M4, 2007-05-06T19:00:00Z,1007.6,240,20,29,11.8,81
M4, 2007-05-06T20:00:00Z,1007.6,240,21,29,11.6,79
M4, 2007-05-06T21:00:00Z,1007.4,230,20,27,11.6,82
M4, 2007-05-06T22:00:00Z,1007,230,22,29,11.5,84
M4, 2007-05-06T23:00:00Z,1007,240,20,31,11.3,84
M4, 2007-05-07T00:00:00Z,1007,250,21,28,10.4,88
M4, 2007-05-07T01:00:00Z,1006.4,350,19,29,9.6,88
M4, 2007-05-07T02:00:00Z,1006,240,19,24,10.9,86
M4, 2007-05-07T03:00:00Z,1005.4,240,21,25,11.3,84
M4, 2007-05-07T04:00:00Z,1004.8,230,22,29,11.3,80
M4, 2007-05-07T05:00:00Z,1004.2,230,21,29,11.5,84
M4, 2007-05-07T06:00:00Z,1003.4,220,24,33,11.5,84
M4, 2007-05-07T07:00:00Z,1003,240,18,31,11.3,92
M4, 2007-05-07T08:00:00Z,1002.4,230,24,33,11,84
M4, 2007-05-07T09:00:00Z,1002.2,240,19,31,10.2,87
M4, 2007-05-07T10:00:00Z,1001.8,240,23,31,11.2,80
M4, 2007-05-07T11:00:00Z,1002.8,240,26,33,10.9,75
M4, 2007-05-07T12:00:00Z,1002.4,250,24,35,11.1,75
M4, 2007-05-07T13:00:00Z,1002.8,240,28,35,10.4,74
M4, 2007-05-07T14:00:00Z,1003.2,240,25,35,11.3,79
M4, 2007-05-07T15:00:00Z,1003,250,27,33,11.4,75
M4, 2007-05-07T16:00:00Z,1003,240,27,35,11.5,74
M4, 2007-05-07T17:00:00Z,1003,240,28,37,11.5,76
M4, 2007-05-07T18:00:00Z,1003.4,240,28,39,11.4,80
M4, 2007-05-07T19:00:00Z,1003.8,250,29,37,10.5,82
M4, 2007-05-07T20:00:00Z,1003.8,250,27,33,11.2,74
M4, 2007-05-07T21:00:00Z,1003.8,250,25,35,11.5,73
M4, 2007-05-07T22:00:00Z,1003.8,240,21,32,11.3,81
M4, 2007-05-07T23:00:00Z,1003.6,250,22,31,10.9,84
M4, 2007-05-08T00:00:00Z,1003.4,250,18,29,10.3,88
M4, 2007-05-08T01:00:00Z,1003.2,250,17,28,10.4,89
M4, 2007-05-08T02:00:00Z,1002.4,240,20,29,10.4,89
M4, 2007-05-08T03:00:00Z,1001.8,290,13,27,9.5,87
M4, 2007-05-08T04:00:00Z,1002,270,12,18,10.2,87
M4, 2007-05-08T05:00:00Z,1002.4,280,12,16,10.2,85
M4, 2007-05-08T06:00:00Z,1002.8,290,17,20,10.7,83
M4, 2007-05-08T07:00:00Z,1003.8,280,18,23,10.7,74
M4, 2007-05-08T08:00:00Z,1004.2,280,18,23,10.9,76
M4, 2007-05-08T09:00:00Z,1006.4,280,17,22,11.2,71
M4, 2007-05-08T10:00:00Z,1006,280,16,20,10.9,74
M4, 2007-05-08T11:00:00Z,1006.4,280,15,24,10.5,73
M4, 2007-05-08T12:00:00Z,1007.4,270,15,20,10.9,75
