PRODUCT;STORE;TDATE;CUSTNUM;UNITS;PROMOTION
Sauvignon Blanc;SE1;2000-01-18 0:00:00;0;4;1
Blanc de Blanc Brut;NW3;2000-01-30 0:00:00;0;3;1
Sauvignon Blanc;SW1;2000-01-23 0:00:00;0;1;1
Chablis;MC2;2000-01-03 0:00:00;0;4;1
Claret;NE2;2000-01-02 0:00:00;1;3;1
Cabernet Sauvignon;MW1;2000-01-03 0:00:00;1;3;1
Cabernet Sauvignon;SW1;2000-01-23 0:00:00;1;3;1
Zinfandel Blanc de Noir;SW3;2000-01-20 0:00:00;1;3;1
Chardonnay;NE1;2000-01-31 0:00:00;2;4;1
Zinfandel Blanc;NE3;2000-01-08 0:00:00;2;5;1
Claret;ME1;2000-01-25 0:00:00;2;3;1
Riesling;SE1;2000-01-12 0:00:00;2;4;1
Chablis;SE1;2000-01-26 0:00:00;2;3;1
Cabernet Sauvignon;NW1;2000-01-25 0:00:00;2;3;1
Chablis;SW4;2000-01-05 0:00:00;2;1;1
Claret;MW3;2000-01-27 0:00:00;3;5;1
Pinot Noir;SW1;2000-01-10 0:00:00;3;4;1
Blanc de Blanc Brut;SW4;2000-01-26 0:00:00;3;2;1
Cabernet Sauvignon;NC1;2000-01-16 0:00:00;3;4;1
Claret;MC1;2000-01-14 0:00:00;3;4;1
Chardonnay;SE1;2000-01-05 0:00:00;4;3;1
Claret;MW1;2000-01-25 0:00:00;4;2;1
Claret;MW2;2000-01-26 0:00:00;4;3;1
Blanc de Blanc Brut;MW3;2000-01-29 0:00:00;4;4;1
Sauvignon Blanc;SW1;2000-01-23 0:00:00;4;5;1
Brut--Reserve;ME2;2000-01-06 0:00:00;5;2;1
Riesling;NW1;2000-01-24 0:00:00;5;3;1
Merlot;MW1;2000-01-03 0:00:00;5;3;1
Cabernet Sauvignon;SW4;2000-01-30 0:00:00;5;1;1
Zinfandel Blanc;SW4;2000-01-22 0:00:00;5;4;1
Pinot Noir;NC3;2000-01-26 0:00:00;5;4;1
Merlot;MC1;2000-01-09 0:00:00;5;5;1
Chablis;ME2;2000-01-26 0:00:00;6;5;1
Chablis;MW1;2000-01-26 0:00:00;6;3;1
Merlot;SE2;2000-01-19 0:00:00;7;2;1
Zinfandel Blanc de Noir;SW1;2000-01-14 0:00:00;7;1;1
Riesling;SW4;2000-01-13 0:00:00;7;5;1
Claret;NC1;2000-01-15 0:00:00;7;3;1
Sauvignon Blanc;NC2;2000-01-18 0:00:00;7;3;1
Brut--Reserve;NC3;2000-01-17 0:00:00;7;2;1
Zinfandel Blanc;NE1;2000-01-04 0:00:00;8;4;1
Zinfandel Blanc;SE1;2000-01-08 0:00:00;8;4;1
Brut--Reserve;SE3;2000-01-03 0:00:00;8;3;1
Brut--Reserve;SW3;2000-01-06 0:00:00;8;3;1
Brut--Reserve;SW4;2000-01-22 0:00:00;8;4;1
Claret;MC2;2000-01-31 0:00:00;8;3;1
Claret;NE1;2000-01-06 0:00:00;9;2;1
Riesling;NW1;2000-01-26 0:00:00;9;2;1
Riesling;NC1;2000-01-05 0:00:00;9;3;1
Brut--Reserve;NC2;2000-01-05 0:00:00;9;4;1
Cabernet Sauvignon;NC2;2000-01-15 0:00:00;9;2;1
Riesling;NC2;2000-01-24 0:00:00;9;5;1
Pinot Noir;NC3;2000-01-19 0:00:00;9;5;1
Zinfandel Blanc;MC2;2000-01-13 0:00:00;9;2;1
Claret;NW3;2000-01-02 0:00:00;10;3;1
Blanc de Blanc Brut;MW1;2000-01-26 0:00:00;10;3;1
Zinfandel Blanc;MW3;2000-01-20 0:00:00;10;2;1
Brut--Reserve;SW2;2000-01-25 0:00:00;10;3;1
Chardonnay;SW4;2000-01-10 0:00:00;10;2;1
Blanc de Blanc Brut;SW2;2000-01-31 0:00:00;11;3;1
Zinfandel Blanc;SW3;2000-01-25 0:00:00;11;2;1
Chardonnay;NC3;2000-01-10 0:00:00;11;3;1
Chablis;NE2;2000-01-19 0:00:00;12;4;1
Claret;NW1;2000-01-29 0:00:00;12;5;1
Riesling;SW2;2000-01-04 0:00:00;12;4;1
Zinfandel Blanc de Noir;SE2;2000-01-22 0:00:00;13;3;1
Cabernet Sauvignon;MC1;2000-01-02 0:00:00;13;4;1
Pinot Noir;MW3;2000-01-04 0:00:00;14;1;1
Cabernet Sauvignon;MW3;2000-01-26 0:00:00;15;4;1
Merlot;SW3;2000-01-14 0:00:00;15;1;1
Blanc de Blanc Brut;MC1;2000-01-21 0:00:00;15;3;1
Zinfandel Blanc de Noir;MC3;2000-01-21 0:00:00;15;3;1
Zinfandel Blanc de Noir;SW3;2000-01-06 0:00:00;16;3;1
Cabernet Sauvignon;SW3;2000-01-23 0:00:00;16;1;1
Brut--Reserve;SW4;2000-01-25 0:00:00;16;5;1
Sauvignon Blanc;SW4;2000-01-14 0:00:00;16;3;1
Brut--Reserve;ME1;2000-01-28 0:00:00;17;1;1
Cabernet Sauvignon;ME1;2000-01-07 0:00:00;17;4;1
Riesling;MW2;2000-01-02 0:00:00;17;4;1
Pinot Noir;NC1;2000-01-11 0:00:00;17;3;1
Zinfandel Blanc;NC3;2000-01-15 0:00:00;17;4;1
Sauvignon Blanc;NE1;2000-01-02 0:00:00;18;5;1
Blanc de Blanc Brut;SE3;2000-01-10 0:00:00;18;2;1
Zinfandel Blanc;NC1;2000-01-27 0:00:00;18;1;1
Brut--Reserve;NC3;2000-01-20 0:00:00;18;5;1
Zinfandel Blanc;NC3;2000-01-16 0:00:00;18;1;1
Blanc de Blanc Brut;NW1;2000-01-23 0:00:00;19;2;1
Blanc de Blanc Brut;MW1;2000-01-23 0:00:00;19;2;1
Claret;MW2;2000-01-04 0:00:00;19;4;1
Zinfandel Blanc;SW4;2000-01-12 0:00:00;19;1;1
Merlot;MC2;2000-01-28 0:00:00;19;3;1
Chablis;MC2;2000-01-14 0:00:00;19;4;1
Pinot Noir;NE1;2000-01-16 0:00:00;20;4;1
Merlot;ME1;2000-01-14 0:00:00;20;2;1
Merlot;ME1;2000-01-20 0:00:00;20;4;1
Chardonnay;NW1;2000-01-19 0:00:00;20;4;1
Chablis;SW1;2000-01-15 0:00:00;20;3;1
Sauvignon Blanc;SW4;2000-01-12 0:00:00;20;2;1
Chardonnay;NC1;2000-01-28 0:00:00;20;1;1
Sauvignon Blanc;NC1;2000-01-10 0:00:00;20;4;1
Brut--Reserve;MC3;2000-01-24 0:00:00;20;3;1
Cabernet Sauvignon;MC3;2000-01-07 0:00:00;20;3;1
Riesling;NE1;2000-01-04 0:00:00;21;3;1
Brut--Reserve;ME2;2000-01-10 0:00:00;21;4;1
Pinot Noir;NW2;2000-01-02 0:00:00;21;4;1
Blanc de Blanc Brut;NW3;2000-01-05 0:00:00;21;3;1
Brut--Reserve;MC1;2000-01-27 0:00:00;21;4;1
Cabernet Sauvignon;NW3;2000-01-07 0:00:00;22;2;1
Zinfandel Blanc;NW3;2000-01-30 0:00:00;22;5;1
Riesling;SW4;2000-01-09 0:00:00;22;2;1
Zinfandel Blanc;SE1;2000-01-19 0:00:00;23;3;1
Cabernet Sauvignon;SE3;2000-01-08 0:00:00;23;3;1
Zinfandel Blanc;MW1;2000-01-02 0:00:00;23;3;1
Sauvignon Blanc;MW3;2000-01-03 0:00:00;23;3;1
Merlot;SW2;2000-01-30 0:00:00;23;2;1
Sauvignon Blanc;NC2;2000-01-26 0:00:00;23;1;1
Riesling;MC2;2000-01-17 0:00:00;23;5;1
Blanc de Blanc Brut;SE2;2000-01-29 0:00:00;24;4;1
Claret;SW1;2000-01-05 0:00:00;24;1;1
Merlot;SW4;2000-01-16 0:00:00;24;4;1
Claret;SW4;2000-01-20 0:00:00;24;1;1
Sauvignon Blanc;NC3;2000-01-04 0:00:00;24;4;1
Sauvignon Blanc;MW1;2000-01-18 0:00:00;25;4;1
Chablis;MW3;2000-01-19 0:00:00;25;3;1
Brut--Reserve;MC2;2000-01-17 0:00:00;25;2;1
Cabernet Sauvignon;NW3;2000-01-20 0:00:00;26;1;1
Chardonnay;NW3;2000-01-02 0:00:00;26;1;1
Sauvignon Blanc;SE2;2000-01-07 0:00:00;27;2;1
Merlot;NC2;2000-01-12 0:00:00;27;3;1
Riesling;NC2;2000-01-12 0:00:00;27;3;1
Blanc de Blanc Brut;NC3;2000-01-15 0:00:00;27;2;1
Merlot;MC3;2000-01-25 0:00:00;27;1;1
Zinfandel Blanc de Noir;SE2;2000-01-26 0:00:00;28;2;1
Zinfandel Blanc de Noir;MW2;2000-01-21 0:00:00;28;3;1
Chablis;MW3;2000-01-07 0:00:00;28;3;1
Chablis;NE3;2000-01-30 0:00:00;29;1;1
Chardonnay;ME1;2000-01-19 0:00:00;29;3;1
Zinfandel Blanc;NE2;2000-01-02 0:00:00;30;2;1
Zinfandel Blanc de Noir;NC1;2000-01-06 0:00:00;30;4;1
