"\"id_1\"";"\"id_2\"";"\"cmp_fname_c1\"";"\"cmp_fname_c2\"";"\"cmp_lname_c1\"";"\"cmp_lname_c2\"";"\"cmp_sex\"";"\"cmp_bd\"";"\"cmp_bm\"";"\"cmp_by\"";"\"cmp_plz\"";"\"is_match\""
"6698";"40542";"1";"1";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"45037";"49220";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"31835";"69902";"1";"?";"1";"1";"1";"1";"1";"1";"1";"TRUE"
"4356";"31352";"0.875";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"45723";"49837";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"39716";"49297";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"71970";"71971";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"96601";"96625";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"28553";"71491";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"22307";"48809";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"25151";"27961";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"68214";"68215";"1";"?";"1";"?";"1";"?";"?";"?";"1";"TRUE"
"3556";"64109";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"71008";"71068";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"19861";"30774";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"23272";"27246";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"19075";"21348";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"36060";"75228";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"25490";"77286";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"6286";"7192";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"39325";"39326";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"81268";"90308";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"29741";"67788";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"68367";"68368";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"20443";"25416";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"22241";"43233";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"27867";"27868";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"79895";"79898";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"17126";"30263";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"49221";"91791";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"28680";"39325";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"53140";"55496";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"36538";"46638";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"80914";"80918";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"29938";"33052";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"16792";"49309";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"29693";"29694";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"42437";"43901";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"5233";"8205";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"40232";"45482";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"17230";"47679";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"67225";"68859";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"21463";"37413";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"135";"11719";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"39892";"90247";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"17901";"28132";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"23841";"39032";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"15823";"17778";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
"25498";"42588";"1";"?";"1";"?";"1";"1";"1";"1";"1";"TRUE"
