"\"id_1\",\"id_2\",\"cmp_fname_c1\",\"cmp_fname_c2\",\"cmp_lname_c1\",\"cmp_lname_c2\",\"cmp_sex\",\"cmp_bd\",\"cmp_bm\",\"cmp_by\",\"cmp_plz\",\"is_match\""
"31641,62703,1,?,1,?,1,1,1,1,1,TRUE"
"27816,46246,1,?,1,?,1,1,1,1,1,TRUE"
"980,2651,1,?,1,?,1,1,1,1,1,TRUE"
"6514,8780,1,?,1,?,1,1,1,1,1,TRUE"
"5532,14374,1,?,1,?,1,1,1,1,1,TRUE"
"25763,61342,1,?,1,?,1,1,1,1,1,TRUE"
"59655,59657,1,?,1,?,1,1,1,1,1,TRUE"
"23800,32179,1,?,1,?,1,1,1,1,1,TRUE"
"33568,38196,1,?,1,?,1,1,1,1,1,TRUE"
"95679,95680,1,?,1,?,1,1,1,1,1,TRUE"
"23729,60864,1,1,1,1,1,1,1,1,1,TRUE"
"21573,36660,1,?,1,?,1,1,1,1,1,TRUE"
"26251,40278,1,?,1,?,1,1,1,1,1,TRUE"
"77101,77106,1,?,1,1,1,1,1,1,1,TRUE"
"44816,87744,1,?,1,?,1,1,1,1,1,TRUE"
"17156,49320,1,?,1,?,1,1,1,1,1,TRUE"
"20166,37894,1,?,1,?,1,1,1,1,1,TRUE"
"28894,34446,1,?,1,?,1,1,1,1,1,TRUE"
"95236,95834,1,?,1,?,1,1,1,1,1,TRUE"
"37609,68906,1,?,1,?,1,1,1,1,1,TRUE"
"21318,26546,1,?,1,?,1,1,1,1,1,TRUE"
"24442,33238,1,?,1,?,1,1,1,1,1,TRUE"
"45769,86663,1,?,1,?,1,1,1,1,1,TRUE"
"2659,10436,1,?,1,?,1,1,1,1,1,TRUE"
"11676,92095,1,?,1,?,1,1,1,1,1,TRUE"
"42798,61913,1,?,1,?,1,1,1,1,1,TRUE"
"31117,38099,1,?,1,?,1,1,1,1,1,TRUE"
"36331,37870,1,?,1,?,1,1,1,1,1,TRUE"
"64949,64951,1,?,1,?,1,1,1,1,1,TRUE"
"72007,72008,1,?,1,?,1,1,1,1,1,TRUE"
"30500,35753,1,?,1,?,1,1,1,1,1,TRUE"
"21851,26192,1,?,1,?,1,1,1,1,1,TRUE"
"23205,49757,1,?,1,?,0,1,1,1,1,TRUE"
"14968,14969,1,?,1,?,1,1,1,1,1,TRUE"
"33453,48183,1,?,1,?,1,1,1,1,1,TRUE"
"16365,18333,1,?,1,?,1,1,1,1,1,TRUE"
"28747,39801,1,?,1,?,1,1,1,1,1,TRUE"
"64925,64956,1,?,1,?,1,1,1,1,1,TRUE"
"20837,28157,1,?,1,?,1,1,1,1,1,TRUE"
"10476,89333,1,?,1,?,1,1,1,1,1,TRUE"
"71331,78164,1,?,1,?,1,1,1,1,1,TRUE"
"2699,4688,1,?,1,?,1,1,1,1,1,TRUE"
"15675,22563,1,?,1,?,1,1,1,1,1,TRUE"
"33594,45990,1,1,1,?,1,1,1,1,1,TRUE"
"54052,56576,1,?,1,?,1,1,1,1,1,TRUE"
"35881,37676,1,1,1,?,1,1,1,1,1,TRUE"
"1308,1311,1,?,1,?,1,1,1,1,1,TRUE"
"26905,28671,1,?,1,?,1,1,1,1,1,TRUE"
"25115,63735,1,?,1,?,1,1,1,1,1,TRUE"
